id,city,price,tire_type,tire_width,height_ratio,wheel_diameter,new_car_price,turbo,finish_level,number_of_doors,number_of_seats,avrage_fuel_consumption,avrage_fuel_consumption_city,avrage_fuel_consumption_highway,fuel_type,gearbox,horsepower,max_speed,max_torque,number_of_cylinders,number_of_gears,rounds_per_minute_for_max_power,rounds_per_minute_for_max_torque,zero_to_100_km_in_seconds,automatic_high_beam,dead_vehicle_monitoring_system,independent_emergency_break,abs,turn_tracking_headlights,cancel_airbag,isofix,lane_departure_warning_system,number_of_airbags,seat_belt_warning_system,airpressure_sensors,road_sign_recognition,trunk_volume_in_liters,trunk_volume_in_seat_folding,front_seat_headroom_in_cm,rear_seat_headroom_in_cm,height_in_cm,front_seat_waist_in_cm,rear_seat_waist_in_cm,front_legroom_in_cm,rear_legroom_in_cm,length_in_cm,front_seat_shoulder_in_cm,rear_seat_shoulder_in_cm,width_in_cm,full_tank_volume_in_liters,minimal_weight_in_kg,maximal_weight_in_kg,wheelbase_in_cm,subwoofer,bluetooth,rear_control_air_conditioning,air_conditioning,number_of_air_conditioning_locations,cruise_control,driver_heated_seat,fog_lights,head_light,heated_front_passenger_seat,electric_windows,rain_sensors,heated_rear_passenger_seat,roof_window,dark_windows,hoops,carName,year,engine,current_km,hand,color,original_ownership,next_test,annual_licensing_fee
1544,11,35900,R,175,70,14,44800,0,INSPIRE,4,5,15.6,18.5,12.2,בנזין,1,100,185,1303.4,4,6.06779661016949,6000,4000,12.2,0,0,1,1,0,0,1,0,6,1,0,0,465,1350.40191804708,101.4,94.6,145.7,130.4,119.8,111.2,84.6,437,136.4,135.6,170,43,1080,1560,257,0,0,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,245,2014,1368,198000,2,16,2,2,1205
1545,0,42000,R,205,55,16,36645,1,TRENDLINE,4,5,16.7,20,13,בנזין,1,122,202,1960,4,7,5000,1500,9.8,0,0,1,1,0,1,1,0,6.25310899780541,0,0,0,510,1350.40191804708,97,94.3,145.3,144.7,143.4,105.240853658537,90.8045212765958,464.4,141.245632973503,138.14139626352,177.8,55,1365,1870,265.1,0,0,0,1,2,0,0,0,הלוגן,0,4,0,0,0,1,2,166,2012,1390,185000,3,1,1,5.24113968033357,1824.71785962474
1546,10,53900,R,195,65,15,57645,0,PREMIUM,5,5,14.9,18.9,11,בנזין,1,135,192,1607.2,4,6,6300,4850,11,0,0,1,1,0,1,1,0,7,1,0,0,378,1316,102.1,96.7,147,137.5,129.6,106.7,88,430,142,139.5,178,53,1250,1850,265,0,1,0,0,1.830078125,0,0,1,הלוגן,0,4,0,0,1,1,1,319,2014,1591,107000,2,19,1,10,1424
1547,2,195000,R,235,40,19,182000,1,L AND K,5,5,14.1,16.4,11.2,בנזין,1,280,250,3430,4,6,5600,1700,5.8,0,0,1,1,1,1,1,1,6.25310899780541,1,1,0,584,1719,99.1,98,146.8,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,486.1,145.1,141.5,186.4,66,1615,2215,284.1,1,1,1,1,3,1,0,1,דו-קסנון,0,4,1,0,1,1,1,142,2018,1984,108000,1,6,1,2,2563
1549,32,116000,R,205,55,16,132000,0,SUN,4,5,28.6,27,31.3,בנזין,1,121,180,2118.53125,4,6.06779661016949,5200,2977.83694937541,11,1,0,1,1,0,1,1,1,7,1,1,1,471,1350.40191804708,98.7101224489796,95.1877685950413,143.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,463,141.245632973503,138.14139626352,178,43,1310,1903.18990889979,270,0,0,0,1,2,1,0,0,הלוגן,0,4,0,0,0,0,1,0,2020,1798,54834,1,1,2,1,1811
1550,32,81500,R,185,65,15,95000,1,REFERENCE,5,5,21.3,23.8,17.9,בנזין,1,115,193,1960,3,7,5500,2000,9.5,0,0,1,1,0,1,1,1,6,1,1,1,355,1165,102.2,95.7,144.4,143.5,140.3,105.240853658537,90.8045212765958,405.9,141.245632973503,138.14139626352,178,40,1164,1580,256.4,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,0,2,42,2018,999,29000,1,1,1,12,1102
1551,12,63000,R,205,60,16,67000,0,EXECUTIVE SS,4,5,16.9,20.8,12.5,בנזין,1,147,190,1764,4,6.06779661016949,6400,3800,10.4,1,0,1,1,0,1,1,1,7,1,1,0,509,1350.40191804708,98.7101224489796,95.1877685950413,148,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,475,141.245632973503,138.14139626352,181,60,1385,2020,270,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,1,464,2017,1798,89000,2,19,4,8,1835
1552,4,113000,R,225,45,19,115395,0,PREMIUM PLUS,4,5,15.2,19.2,11.5,בנזין,1,192,223,2508.8,4,6,5700,3250,8.2,1,0,1,1,1,1,1,1,6,1,1,0,438,1350.40191804708,95,94.2,145,139.755389908257,136.878071182549,107.3,98.4,487,145,141,184,62,1543,1903.18990889979,283,1,1,0,1,2,0,0,1,לד,0,4,1,0,1,1,1,465,2017,2488,118000,1,6,1,10,2019
1553,12,52000,R,195,55,16,109000,1,LIFE,5,5,18.5,22.2,14.7,בנזין,1,120,170,2009,4,6,5500,2000,9.2,0,0,1,1,0,1,1,0,4,1,1,0,300,1146,88,84.7,144.8,136.3,137.8,105.240853658537,90.8045212765958,406.3,137,130.7,173.2,45,1154,1664,258.9,0,1,0,0,1.830078125,0,0,1,הלוגן,0,2,0,0,0,1,1,172,2017,1197,52000,1,69,1,5.24113968033357,1824.71785962474
1555,30,57192,R,165,70,14,62900,0,VISIA,5,5,18.5,21.7,14.9,בנזין,1,80,161,1078,3,6.06779661016949,6000,4000,14.5,0,0,1,1,0,1,1,1,6,1,1,1,265,1132,98.7101224489796,95.1877685950413,151,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,382.5,141.245632973503,138.14139626352,166.5,41,1020,1425,245,0,1,0,0,1.830078125,0,0,0,הלוגן,0,2,0,0,0,1,2,67,2018,1198,81130,1,1,2,7,1102
1556,11,25500,R,205,55,16,33495,0,LTZ,4,5,15.4,20,11.2,בנזין,1,115,178,1519,4,6,6000,4000,11.7,0,0,1,1,0,1,1,1,6,1,0,0,502,1350.40191804708,99.5,96.1,151.6,139.755389908257,136.878071182549,106.1,88.1,439.7,135.8,134.7,173.5,46,1183,1619,252.5,0,1,0,0,1.830078125,0,1,1,הלוגן,1,4,1,0,0,1,1,466,2014,1598,170000,1,2,2,4,1205
1558,12,198000,R,265,60,16,430000,1,S,4,5,17.7453684922245,20.3863265306122,14.6269151138716,דיזל,0,163,180,3528,4,6,3600,2000,10.783321799308,1,0,1,1,0,1,1,1,7,1,0,0,413.263624841572,1350.40191804708,98.7101224489796,95.1877685950413,179,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,526.5,141.245632973503,138.14139626352,187,76,1910,3000,312.5,0,0,0,0,1.830078125,0,0,0,הלוגן,0,4,1,0,0,0,2,195,2021,1898,0,1,1,4,5,2417
